text,labels
for-xiaomi-wireless-lavalier-lapel-microphone-iphone-ios-android-type-c-phone-live-game-recording-interview-with-magnetic-clip For Xiaomi Wireless Lavalier Lapel Microphone iPhone iOS/Android Type-C Phone Live Game Recording Interview with Magnetic Clip  SPECIFICATIONS   Brand Name :  MIJIA    Built-in Battery :  Yes    Certification :  None    Choice :  yes    Communication :  Wired    Diaphragm :  LARGE    Hign-concerned Chemical :  None    Origin :  Mainland China    Package :  Yes    Polar Patterns :  Omnidirectional    Set Type :  Single Microphone    Style :  Lavalier Microphone    Transducer :  Electret Microphone    Use :  Karaoke Microphone,C0dejunky|Microphone
"line-interactive-ups-600va-1000va-1500va-3000va-cctv-ups-emergency-power-backup-ups Line Interactive UPS 600VA 1000VA 1500VA 3000VA CCTV UPS Emergency Power Backup UPS  SPECIFICATIONS   Application :  Data center Finance Medical EquipmentTelecomIndustrial facilities    Backup Time :  Depends on batteries connected    Battery Voltage :  360V336V348V372V384V    Brand Name :  AOTESIER    Capacity :  20KVA20KW    Certification :  CERoHSISO9001ISO14001    Graphics Card Chipset :  GT 240    Hard Drive Capacity :  120GB    Hign-concerned Chemical :  None,None    Memory Capacity :  2 GB,3GB    Model Number :  001    Origin :  Mainland China,Mainland China    Output Frequency :  5060Hz    Output Voltage :  380V400V415V    Phase :  Three Phase    Place of Origin :  Guangdong China    Port :  vga    Power Factor :  10    Products :  high frequency ups backup power    Protection :  Unbalanced Loads Short-circuit Over-load Protection    Transfer Time :  Zero Conversion    Type :  Desktop,On-line    Warranty :  1 year    Wave Form :  Pure Sine Wave    Weight :  165Kg,165Kg",120GB|2GB|3GB|C0dejunky|Server Power Supply
"mougol-new-x99-motherboard-set-with-intel-xeon-e5-2650-v4-cpu-dual-channel-ddr4-8gx2-2133mhz-ecc-ram-for-gaming-computer MOUGOL New X99 Motherboard Set with Intel Xeon E5 2650 V4 CPU & Dual-channel DDR4 8Gx2 2133MHz ECC RAM for Gaming Computer  SPECIFICATIONS   Application :  Desktop    Back I/O Ports :  6 x USB 2.0,3 x Audio Jacks,PS/2    Battery Included :  No    Brand Name :  MOUGOL    Chipset :  h55    Chipset Manufacturer :  Intel    Choice :  yes    Form Factor :  Micro-ATX    Hign-concerned Chemical :  None    Max LAN Speed :  1000Mbps    Maximum Ram Capacity :  128 GB    Memory channel :  Double    Number Of Memory Slots :  4    Number of M.2 :  1    Number of PCI :  1    Number of PCIe x 1 :  1    Number of PCIe x 16 :  1    Number of SATA Ports :  2    Onboard Connectors &amp; Header :  24-pin Main Power Connector,CPU Fan Connector(s),AAFP Connector,8-pin +12V Power Connector,Speaker Connector    Onboard LAN :  1x RJ45    Origin :  Mainland China    PCI - E standards :  PCI-E 3.0    Package :  Yes    Ports :  PCI-Express X1    Processor compatibility :  Intel Xeon E Series    RAID Supported :  Yes    SATA RAID :  0    Socket Type :  LGA 2011-3    Special Features :  None    Storage Interface Type :  SATA 2,M.2 (NVMe)    Support Memory Type :  DDR4 ECC    Support USB Type :  USB 2.0    Supports M.2 SSD :  2280,22110    Usage Scenario :  Gaming,Audio &amp; Video,Household,Office,Design,Video Production,Video Rendering    With CPU :  Yes",128GB|C0dejunky|Gaming
"popular-windows-11pro-s1-mini-pc-intel-12th-n150-n100-n95-cpu-desktop-computer-s1-barebone-system-ddr4-8g-16gb-mini-computrer Popular windows 11pro S1 Mini Pc INTEL 12TH N150 N100/N95 CPU Desktop Computer S1 Barebone System DDR4 8G 16GB MINI Computrer  SPECIFICATIONS   Brand Name :  KH    Graphics Card Chipset :  Intel UHD Graphics 610    Hard Drive Capacity :  500GB    Hign-concerned Chemical :  None    Memory Capacity :  16 GB,16 GB    Model Number :  S1    Mouse &amp; Keyboard :  No    Origin :  Mainland China    Port :  LAN HDMI USB    Processor Model Number :  Intel other    RAM Type :  DDR4    Type :  Barebone System    Video Memory Type :  GDDR4    Weight :  1KG",16GB|500GB|C0dejunky|Windows 11
"15-6inch-pos-caisse-enregistreuse-complet-financial-equipment-dual-screen-cash-register-machine 15.6Inch Pos Caisse Enregistreuse Complet Financial Equipment Dual Screen Cash Register Machine  SPECIFICATIONS   Application :  hotels, shops    Brand Name :  DIXSG    Color :  White/Black    Compatible Devices :  Barcode Scanner    Customer Display :  11.6 Inch LED Screen    Display :  15.6 inch capacitive touch screen    Graphics Card Chipset :  GTX 470    Hard Drive Capacity :  120GB    Hign-concerned Chemical :  None    Interface :  USB3.0, USB2.0, rs232, VGA , RJ45, USB, VGA, LAN, LPT, PS/2, RJ45    Mainboard :  Intel Core i3 (Dual Core 1.8Ghz)    Memory Capacity :  2 GB,2 GB    Model Number :  1     OS :  Windows 10    Operating System :  Windows 7/10    Origin :  Mainland China    Port :  1     RAM :  DDR3 4GB    SSD :  64G SSD    Type :  All-In-One,Touch Screen Pos system    Warranty :  1 Year    Weight :  5     Wireless Protocol :  Bluetooth5.2, WiFi6(802.11ax)    brand name :  HBAPOS    country of origin :  China    cpu :  Intel    model number :  GM10    place of origin :  Guangdong, China    resolution :  1920 x 1080 resolution",120GB|2GB|4GB|C0dejunky|Office Electronics
elegant-digital-makeover-2-pcs-premium-feather-lotus-laptop-skin-sticker-15-07x10-82-inch-pvc-decals-waterproof-laptop-decor 【Elegant Digital Makeover】2 Pcs Premium Feather & Lotus Laptop Skin Sticker 15.07x10.82 Inch PVC Decals Waterproof Laptop Decor  SPECIFICATIONS   Brand Name :  NoEnName_Null    Choice :  yes    Hign-concerned Chemical :  None    Material :  PVC    Origin :  Mainland China    Package :  Yes    Waterproof :  Yes,C0dejunky|Laptop skins
"2-pack-black-stone-flower-geometric-pattern-laptop-stickers-durable-pvc-stickers-for-laptops-cars-refrigerators 2-Pack Black Stone Flower Geometric Pattern Laptop Stickers - Durable PVC stickers for laptops, cars, refrigerators,  SPECIFICATIONS   Brand Name :  NoEnName_Null    Choice :  yes    Hign-concerned Chemical :  None    Origin :  Mainland China    main material :  PVC (polyvinyl chloride)    place of origin :  Guangdong,China",C0dejunky|Laptop skins
"diy-laptop-skins-stickers-notebook-vinyl-cover-sticker-for-acer-lenovo-hp-macbook-msi-11-61213-31415-617-decorate-decal DIY Laptop Skins Stickers Notebook Vinyl Cover Sticker for Acer/Lenovo/HP/Macbook/Msi 11.6""12""13.3""14""15.6""17"" Decorate Decal  SPECIFICATIONS   Applicable Model :  Macbook /HP / Dell / Lenovo / Acer / ASUS/Msi, etc    Brand Name :  NoEnName_Null    Color style :  As the picture shows or Custom Optional    Drop Shipping :  Support    Features1 :  Surface waterproof and scratch resistant    Features2 :  Wear-resistant and non-fading    Features3 :  Bright color does not fade    Features4 :  No residual glue/repeated paste    Features5 :  easy to paste/ no bubble    Features6 :  Good material, comfortable experience    Hign-concerned Chemical :  None    Material :  PVC    Model Number :  DIY custom universal sticker    Origin :  Mainland China    Package :  Yes    Products Status :  STOCK    Size :  11''/12''/13.3''/14''/15.6''/17.3''    Style :  Fashion/Beautifu    Usage :  Paste the sticker on the computer body    Waterproof :  Yes    Wholesale :  Support    lMaterial :  lMaterial    :PVC Removable Layer + Paper Layer",C0dejunky|Laptop skins
mogami-2948-midi-synchro-cable-assemblies-musical-instrument-digital-interface-5-pin-din-connectors-keyboard-instrument-pc-cable Mogami 2948 Midi Synchro Cable Assemblies Musical Instrument Digital Interface 5-pin Din Connectors Keyboard Instrument Pc Cable  SPECIFICATIONS   Application :  midi    Brand Name :  pureline    Certification :  None    Choice :  yes    Connector A :  male    Connector B :  male    Feature :  None    Gender :  Male    Hign-concerned Chemical :  None    Model Number :  2948    Origin :  Mainland China    Outer Diameter :  5    Package :  Yes    Shielding :  Braid    Type :  Audio Extension Cord    semi_Choice :  yes,Audio Adapters|C0dejunky
"vention-mini-usb-cable-mini-usb-2-0-to-usb-fast-data-charger-cable-for-mp3-mp4-player-car-gps-digital-camera-hdd-mini-usb Vention Mini USB Cable Mini USB 2.0 to USB Fast Data Charger Cable for MP3 MP4 Player Car GPS Digital Camera HDD Mini USB  SPECIFICATIONS   Brand Name :  Vention    Certification :  CE,FCC,RoHS    Choice :  yes    Color :  Black/White    Conductor Material :  99.99% Oxygen-free Copper    Connector :  Nickel plate    Feature :  usb cable    Function 1 :  mini usb    Function 2 :  usb charger cable    Function 3 :  usb data cable    Hign-concerned Chemical :  None    Length :  25cm/50cm/100cm/150cm/200cm    Model Number :  VAS-A14    Origin :  Mainland China    Package :  Yes    Type :  USB 2.0 Male A to Mini USB B    USB Type :  Mini-USB    Use :  Computer,Camera,Mobile Storage,MP3 / MP4 Player    semi_Choice :  yes",3MP|C0dejunky|Usb-Mini
upgraded-metal-shell-key-case-for-kia-k3-suitable-for-24-models-ev5-lion-tocado-kx3-proud-running-smart-running Upgraded Metal Shell Key Case For Kia K3 Suitable For 24 Models Ev5 Lion Tocado Kx3 Proud Running Smart Running  SPECIFICATIONS   Brand Name :  KIA    Choice :  yes    Origin :  Mainland China,C0dejunky|Keyfob Case
"1-4pcs-privacy-screen-protector-for-samsung-a55-5g-a35-a53-a54-a52-a52s-a51-a50-a34-a33-a32-a31-a25-a24-a23-a22-anti-spy-glass 1-4PCS Privacy Screen Protector For Samsung A55 5G A35 A53 A54 A52 A52S A51 A50 A34 A33 A32 A31 A25 A24 A23 A22 Anti-Spy Glass  SPECIFICATIONS   Brand Name :  Ojeleye    Choice :  yes    Features :  Anti-Fingerprint,Anti-Scratch,Anti-Shatter,Anti-Spy    Hign-concerned Chemical :  None    Origin :  Mainland China    Screen protector helper :  None    Screen protectors material :  Tempered Glass Film    Type :  Front Film",C0dejunky|Privacy Screen
rotable-mobile-phone-holder-stand-phone-accessories-ring-holder Rotable Mobile Phone Holder Stand  Phone Accessories Ring Holder  SPECIFICATIONS   Brand Name :  NoEnName_Null    Charger :  No    Features :  Lazy Bracket    Hign-concerned Chemical :  None    Origin :  Mainland China    Type :  Finger Ring Holder,C0dejunky|Ring Holder
popped-phone-holder-socket-stand-for-iphone-16-15-14-13-griptok-mobile-phone-accessories-for-huawei-finger-ring-soporte-movil Popped Phone Holder Socket Stand For iPhone 16 15 14 13 Griptok Mobile Phone Accessories for Huawei Finger Ring Soporte Movil  SPECIFICATIONS   Brand Name :  Popped    Charger :  No    Choice :  yes    Compatible Brand :  Universal    Features :  No Features    Has Speaker :  No    Hign-concerned Chemical :  None    Model Number :  Expanding Stand and Grip Ring Holder for pop socket    Origin :  Mainland China    Type :  Finger Ring Holder    semi_Choice :  yes,C0dejunky|Popsocket
for-iphone-to-3-5-mm-jack-cable-aux-adapter-for-iphone-12-13-14-pro-adapter-headphone-connector-audio-splitter-phone-accessories For iPhone To 3 5 MM Jack Cable AUX Adapter For iPhone 12 13 14 Pro Adapter Headphone Connector Audio Splitter phone accessories  SPECIFICATIONS   Amplifier :  No    Brand Name :  NoEnName_Null    Choice :  yes    Connector A :  Type-C    Connector B :  3.5 MM    Hign-concerned Chemical :  None    Input Voltage :  5v    Origin :  Mainland China    Output Voltage :  5v    Type :  Transfer Sound    semi_Choice :  yes,Audio Adapters|C0dejunky
typec-to-usb-interface-otg-adapter-mobile-phone-usb-converter TypeC to USB Interface OTG Adapter Mobile Phone USB Converter  SPECIFICATIONS   Amplifier :  No    Brand Name :  YYMSF    Connector A :  Micro USB    Connector B :  Type-C    Hign-concerned Chemical :  None    Input Voltage :  5V    Origin :  Mainland China    Output Voltage :  5V    Type :  USB,C0dejunky
abs-material-foldable-laptop-stand-adjustable-notebook-bracket-portable-holder-for-macbook-air-pro-accessories ABS Material Foldable Laptop Stand Adjustable Notebook Bracket Portable Holder For Macbook Air Pro Accessories  SPECIFICATIONS   Application :  Laptop    Brand Name :  ERIKOLE    Choice :  yes    Hign-concerned Chemical :  None    Material :  ABS Plastic    Origin :  Mainland China,C0dejunky
"mini-metal-ring-bracket-360-rotation-for-all-smartphone-mobile-holder-black-blue-red-rose-gold Mini  Metal Ring Bracket 360° Rotation for All Smartphone Mobile Holder Black/Blue/Red/Rose Gold  SPECIFICATIONS   Brand Name :  NoEnName_Null    Charger :  No    Choice :  yes    Color :  Black/Blue/Red/Rose Gold/Champagne Gold,Black/Blue/Red/Rose Gold/Champagne Gold,Black/Blue/Red/Rose Gold/Champagne Gold    Compatible Brand :  Universal    Features :  No Features    Has Speaker :  No    Hign-concerned Chemical :  None    Material :  Metal,Metal,Metal    Model Number :  B2RC4NB801780    Origin :  Mainland China    Size :  4.5*2.6*0.3cm/1.77*1.02*0.12inch,4.5*2.6*0.3cm/1.77*1.02*0.12inch,4.5*2.6*0.3cm/1.77*1.02*0.12inch    Type :  Desk Holder    semi_Choice :  yes",C0dejunky|Ring Holder
"1-2-3pcs-thumb-phone-stand-lazy-phone-thumb-stand-portable-elastic-creative-universal-phone-ipad-stand-phone-stand 1/2/3pcs Thumb Phone Stand Lazy Phone Thumb Stand Portable Elastic Creative Universal Phone iPad Stand Phone Stand  SPECIFICATIONS   Brand Name :  NoEnName_Null    Charger :  No,No    Choice :  yes    Features :  Lazy Bracket,Lazy Bracket    Has Speaker :  No,No    Hign-concerned Chemical :  None    Origin :  Mainland China,Mainland China    Type :  Desk Holder,Desk Holder",C0dejunky
"essager-magnetic-wireless-charger-for-apple-watch-9-8-7-6-5-4-3-se-ultra-fast-charging-station-dual-port-watch-portable-charger Essager Magnetic Wireless Charger For Apple Watch 9 8 7 6 5 4 3 SE Ultra Fast Charging Station Dual Port Watch Portable charger  SPECIFICATIONS   Brand Name :  ESSAGER    Certification :  RoHS,CE,FCC    Choice :  yes    Color :  Gunmetal grey    Compatibility 1 :  Charger For Apple Watch 8    Compatibility 2 :  Charger For Apple Watch 7    Compatibility 3 :  Charger For Apple Watch 6    Compatibility 4 :  Charger For Apple Watch 5    Compatibility 5 :  Charger For Apple Watch 4    Compatibility 6 :  Charger For Apple Watch 3    Compatibility 7 :  Charger For Apple Watch 2    Compatibility 8 :  Charger For Apple Watch 1    Compatible Brand :  Apple iPhone    Compatible Devices :  Smart Watches    Connector Type :  Type C    Features :  Air Charge,Magnetic Wireless Chargers    Hign-concerned Chemical :  None    Material :  ABS+Zinc Alloy    Max. Output Power :  2.5W    Origin :  Mainland China    semi_Choice :  yes",C0dejunky
"magnetic-wireless-charger-car-phone-holder-air-vent-mount-for-iphone15-14-13-12-pro-max-xiaomi-samsung-s24-fast-charging-stand Magnetic Wireless Charger Car Phone Holder Air Vent Mount for iPhone15 14 13 12 Pro Max Xiaomi Samsung S24 Fast Charging Stand  SPECIFICATIONS   Brand Name :  Opansten    Certification :  RoHs    Choice :  yes    Compatible Brand :  Apple iPhone    Compatible Devices :  Phones    Connector Type :  Type C    Features :  With Charging Indicator,With Holder,Magnetic Wireless Chargers    Hign-concerned Chemical :  None    Max. Output Power :  30W    Origin :  Mainland China",C0dejunky
watch-charging-single-head-for-huawei-watch-4-3-pro-gt4-gt3-3pro-3se-gt2-pro-pro-ecg-gt-runner-cyber-charger-head-charging-stand Watch Charging Single Head For Huawei Watch 4 3 Pro GT4 GT3/3Pro/3SE GT2 Pro/Pro ECG GT Runner/Cyber Charger Head Charging Stand  SPECIFICATIONS   Brand Name :  IEOVIEE    Choice :  yes    Feature 1 :  Watch Charging Single Head For Huawei Watch GT4    Feature 2 :  Watch Charging Single Head For Huawei Watch GT3    Feature 3 :  Watch Charging Single Head For Huawei Watch GT3 Pro    Feature 4 :  Watch Charging Single Head For Huawei Watch GT3 SE    Feature 5 :  Watch Charging Single Head For Huawei Watch GT2 Pro    Hign-concerned Chemical :  None    Origin :  Mainland China    semi_Choice :  yes,C0dejunky
"fast-charger-original-magnetic-wireless-charging-device-for-iphone-16-15-14-13-12-pro-max-mini-usb-c-8-plus-xr-x-xs-max-airpods Fast Charger Original Magnetic Wireless Charging Device For iPhone 16 15 14 13 12 Pro Max Mini USB C 8 Plus XR X XS MAX Airpods  SPECIFICATIONS   Brand Name :  VIKEFON    Certification :  CE    Choice :  yes    Compatible Brand :  Apple iPhone    Compatible Devices :  Phones,Earphones    Connector Type :  Type C    Features :  Magnetic Wireless Chargers    Hign-concerned Chemical :  None    Max. Output Power :  15W    Origin :  Mainland China",C0dejunky
20000mah-magnetic-powerbank-wireless-pd-22-5w-fast-charger-for-magsafe-portable-auxiliary-battery-for-iphone-samsung-xiaomi 20000mAh Magnetic PowerBank Wireless PD 22.5W Fast Charger For Magsafe Portable Auxiliary Battery For Iphone Samsung Xiaomi  SPECIFICATIONS   Battery Type :  Li-Polymer Battery    Brand Name :  OUIO    Certification :  CE    Features :  Wireless Charge    Hign-concerned Chemical :  None    Input Interface :  USB Type C    Max Output :  23w    Origin :  Mainland China    Output Interface :  Wireless Charger    Shell Material :  Plastic    Support Quick Charge Technology :  Two-way Quick Charge    Type :  Portable Power Bank,C0dejunky
"baseus-usb-c-cable-for-iphone-14-13-12-11-pro-max-xs-20w-fast-charging-cable-type-c-date-wire-for-ipad-macbook-tpe Baseus USB C Cable For IPhone 14 13 12 11 pro Max XS 20W Fast Charging Cable Type C Date Wire For iPad Macbook TPE  SPECIFICATIONS   Brand Name :  BASEUS    Certification :  CE,FCC,RoHS    Color :  Black,White,Blue,Purple    Connector A :  Type-C    Connector B :  Type-C,LIGHTNING    Features :  Fast Charge Cable    Features 1 :  Fast charging for 14/14 Plus/14 Pro/14 Pro Max, 13/13 Mini/13 Pro/13 Pro Max, 12/12 Mini/12 Pro/12 Pro Max, SE2,11/Pro/Pro Max, Xs/Xs Max, X/XR, 8/8 PIus    Features 2 :  Fast charging for iPad 8/10.2inch, Pro 12.9 inch (2nd gen.), Pro 10.5 inch, Air3 10.5 inch, Mini 5 7.9 inch    Features 3 :  Basic charging for iPhone 7/7 Plus, 6/6 Plus, 6s/6s Plus    Features 4 :  Basic charging for  iPad Pro 12.9 inch (1st gen.), Pro9.7 inch, Pad 9.7 inch, Air 9.7 inch, Mini 7.9 inch    Has Retail Package :  Yes    Hign-concerned Chemical :  None    Length :  1.2m, 2m    Material :  TPE/TPU,Soft TPE    Maximum Current :  5A    Origin :  Mainland China    Transmission rate :  480Mbps",C0dejunky
